,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type
fixed acidity,1.0,0.22950994038332767,0.32563960869138725,-0.10438487339869959,0.30517426503260164,-0.2849217397391607,-0.330358963446546,0.4650712778499148,-0.25303459357017366,0.29558472915457484,-0.09236511739785445,-0.4906933128261756
volatile acidity,0.22950994038332767,1.0,-0.3799113263934512,-0.19134199681940411,0.3814131449501283,-0.35292833609742463,-0.4116840151522235,0.2806581437790885,0.25763389798079944,0.23419531389454326,-0.039899286235275264,-0.6539150324092102
citric acid,0.32563960869138725,-0.3799113263934512,1.0,0.14421743367561232,0.05150437927282112,0.12859081636926756,0.1988671694819216,0.10244778255093212,-0.3400071148710791,0.05734386271423631,-0.02269867688723937,0.18700133696440213
residual sugar,-0.10438487339869959,-0.19134199681940411,0.14421743367561232,1.0,-0.1311346029003413,0.3977569018422241,0.49300124447768673,0.5532018863896577,-0.26556301042811903,-0.1879602173827108,-0.3595162364008013,0.3468091523832506
chlorides,0.30517426503260164,0.3814131449501283,0.05150437927282112,-0.1311346029003413,1.0,-0.19700104970915913,-0.28321110761445906,0.3638528824373694,0.04170379569657153,0.41633444293842686,-0.2542660415553223,-0.5198214671110644
free sulfur dioxide,-0.2849217397391607,-0.35292833609742463,0.12859081636926756,0.3977569018422241,-0.19700104970915913,1.0,0.7205395778028325,0.022854048142681854,-0.13827203372033278,-0.1842744757492619,-0.18395045533266005,0.4696085957884306
total sulfur dioxide,-0.330358963446546,-0.4116840151522235,0.1988671694819216,0.49300124447768673,-0.28321110761445906,0.7205395778028325,1.0,0.027841470295312146,-0.23759390901125899,-0.27339431714924595,-0.2634807349248168,0.6961175745075493
density,0.4650712778499148,0.2806581437790885,0.10244778255093212,0.5532018863896577,0.3638528824373694,0.022854048142681854,0.027841470295312146,1.0,0.011298996579732448,0.25621088142321863,-0.6803615251240426,-0.39584341831606734
pH,-0.25303459357017366,0.25763389798079944,-0.3400071148710791,-0.26556301042811903,0.04170379569657153,-0.13827203372033278,-0.23759390901125899,0.011298996579732448,1.0,0.1826396432605446,0.1269749856361897,-0.3262328628439971
sulphates,0.29558472915457484,0.23419531389454326,0.05734386271423631,-0.1879602173827108,0.41633444293842686,-0.1842744757492619,-0.27339431714924595,0.25621088142321863,0.1826396432605446,1.0,-0.002156024720814029,-0.4905108443326785
alcohol,-0.09236511739785445,-0.039899286235275264,-0.02269867688723937,-0.3595162364008013,-0.2542660415553223,-0.18395045533266005,-0.2634807349248168,-0.6803615251240426,0.1269749856361897,-0.002156024720814029,1.0,0.0366191856043817
wine_type,-0.4906933128261756,-0.6539150324092102,0.18700133696440213,0.3468091523832506,-0.5198214671110644,0.4696085957884306,0.6961175745075493,-0.39584341831606734,-0.3262328628439971,-0.4905108443326785,0.0366191856043817,1.0
