scaler,C,model_id,auc_roc,pr_auc,accuracy,training_time
Standard,0.001,Standard_C0.001,0.7869410021551724,0.5105128877263609,0.8038461538461539,0.007775306701660156
Standard,0.01,Standard_C0.01,0.801406100335249,0.5334605611111409,0.8261538461538461,0.024831771850585938
Standard,0.1,Standard_C0.1,0.803999042145594,0.5322265304102628,0.823076923076923,0.007553577423095703
Standard,1.0,Standard_C1.0,0.8048034901819924,0.5249284009262059,0.8223076923076923,0.009219646453857422
Standard,10.0,Standard_C10.0,0.8050017959770115,0.5255562237826119,0.8223076923076923,0.0076138973236083984
Standard,100.0,Standard_C100.0,0.8049606381704981,0.5255193261817588,0.8223076923076923,0.007630825042724609
MinMax,0.001,MinMax_C0.001,0.7198612607758621,0.4669075298541732,0.803076923076923,0.0047740936279296875
MinMax,0.01,MinMax_C0.01,0.7530606441570882,0.4813270820416395,0.803076923076923,0.005555391311645508
MinMax,0.1,MinMax_C0.1,0.7845538493773946,0.5074112432230281,0.813076923076923,0.008025407791137695
MinMax,1.0,MinMax_C1.0,0.798835608237548,0.5292697351459843,0.8261538461538461,0.008687496185302734
MinMax,10.0,MinMax_C10.0,0.803220785440613,0.5333630455903612,0.8261538461538461,0.017493486404418945
MinMax,100.0,MinMax_C100.0,0.8043732040229886,0.5239875999134023,0.823076923076923,0.022728681564331055
Robust,0.001,Robust_C0.001,0.7856015026340997,0.5029946972196075,0.803076923076923,0.008094072341918945
Robust,0.01,Robust_C0.01,0.8016006645114943,0.5320610337882691,0.823076923076923,0.009596109390258789
Robust,0.1,Robust_C0.1,0.8034527658045978,0.5335598881097985,0.8261538461538461,0.01084446907043457
Robust,1.0,Robust_C1.0,0.8046687919061303,0.5246585798704063,0.823076923076923,0.01158452033996582
Robust,10.0,Robust_C10.0,0.8049531549329502,0.5256287291821323,0.8223076923076923,0.011752128601074219
Robust,100.0,Robust_C100.0,0.8050092792145593,0.5256897950209147,0.8223076923076923,0.011702537536621094
MaxAbs,0.001,MaxAbs_C0.001,0.7222446719348659,0.4428692202711575,0.803076923076923,0.005652189254760742
MaxAbs,0.01,MaxAbs_C0.01,0.7206432590996169,0.4392392350997388,0.803076923076923,0.006007671356201172
MaxAbs,0.1,MaxAbs_C0.1,0.7769396551724137,0.4802144115277197,0.803076923076923,0.008948802947998047
MaxAbs,1.0,MaxAbs_C1.0,0.7979451029693486,0.5247098224501927,0.8207692307692308,0.015425682067871094
MaxAbs,10.0,MaxAbs_C10.0,0.8004931453544062,0.5269259512944963,0.8269230769230769,0.012418985366821289
MaxAbs,100.0,MaxAbs_C100.0,0.8006914511494252,0.5265546189368213,0.8276923076923077,0.012156486511230469
